Name,CCID,Version,Authority,Target Format,Target Format Version,Target Format Part,Citation,Quote,Rule Clarity?,Definition,Regex Parameters,Regular Expression
Tag Part Number,MKV-TAG-PARTNUMBER,,,,,,,,,,Numbers only,
Tag Part Offset,MKV-TAG-PARTOFFSET,,,,,,,,,,Numbers only,
Tag Title,MKV-TAG-TITLE,,,,,,,,,,Limit to standard characters only,
Tag Subtitle,MKV-TAG-SUBTITLE,,,,,,,,,,Limit to standard characters only,
Tag URL,MKV-TAG-URL,,,,,,,,,,Verify it is a URL,
Tag Sort_with,MKV-TAG-SORT_WITH,,,,,,,,,,Limit to standard characters only,
Tag Email,MKV-TAG-EMAIL,,,,,,,,,,Email regex (@ sign with letters/numbers on both sides and at least one . after it,
Tag Address,MKV-TAG-ADDRESS,,,,,,,,,,Country code,
Tag Fax,MKV-TAG-FAX,,,,,,,,,,Numbers only (dashes?),
Tag Phone,MKV-TAG-PHONE,,,,,,,,,,Numbers only (dashes?),
Tag Initial_Key,MKV-TAG-INITIAL_KEY,,,,,,,,,,Limit to possible keys,
Tag Law_Rating,MKV-TAG-LAW_RATING,,,,,,,,,,Limit to potential ratings but depends on global standards,
TAG ICRA,MKV-TAG-ICRA,,,,,,,,,,Binary,
Tag DATE_RELEASED,MKV-TAG-DATE_RELEASED,,,,,,,,,,Numbers and number-related characters only,
Tag DATE_RECORDED,MKV-TAG-DATE_RECORDED,,,,,,,,,,Numbers and number-related characters only,
Tag DATE_ENCODED,MKV-TAG-DATE_ENCODED,,,,,,,,,,Numbers and number-related characters only,
Tag DATE_TAGGED,MKV-TAG-DATE_TAGGED,,,,,,,,,,Numbers and number-related characters only,
Tag DATE_DIGITIZED,MKV-TAG-DATE_DIGITIZED,,,,,,,,,,Numbers and number-related characters only,
Tag DATE_WRITTEN,MKV-TAG-DATE_WRITTEN,,,,,,,,,,Numbers and number-related characters only,
Tag DATE_PURCHASED,MKV-TAG-DATE_PURCHASED,,,,,,,,,,Numbers and number-related characters only,
Tag Play_Counter,MKV-TAG-PLAY_COUNTER,,,,,,,,,,Numbers only,
Tag FPS,MKV-TAG-FPS,,,,,,,,,,Numbers only,
Tag BPM,MKV-TAG-BPM,,,,,,,,,,Numbers only,
Tag Measure,MKV-TAG-MEASURE,,,,,,,,,,Numbers only (or related symbols),
Tag Tuning,MKV-TAG-TUNING,,,,,,,,,,Numbers only (or related symbols),
Tag Replay Gain (Gain),MKV-TAG-REPLAYGAIN_GAIN,,,,,,,,,,Binary,
Tag Replay Gain (Peak),MKV-TAG-REPLAYGAIN_PEAK,,,,,,,,,,Binary,
Tag (Identifiers) ISRC,MKV-TAG-ISRC,,,,,,,,,,Numbers only,
Tag (Identifiers) MCDI,MKV-TAG-MCDI,,,,,,,,,,Binary,
Tag (Identifiers) ISBN,MKV-TAG-ISBN,,,,,,,,,,Numbers only,
Tag (Identifiers) Barcode,MKV-TAG-BARCODE,,,,,,,,,,Numbers only,
Tag (Identifiers) Catalog number,MKV-TAG-CATALOG_NUMBERA,,,,,,,,,,Numbers only,
Tag (Identifiers) Label code,MKV-TAG-LABEL_CODE,,,,,,,,,,Numbers only,
Tag (Identifiers) LCCN,MKV-TAG-LCCN,,,,,,,,,,Numbers only,
Tag (Commercial) Purchase Item,MKV-TAG-PURCHASE_ITEM,,,,,,,,,,Must be URL,
Tag (Commercial) Purchase Price,MKV-TAG-PURCHASE_PRICE,,,,,,,,,,Numbers and . only,
Tag (Commercial) Purchase Currency,MKV-TAG-PURCHASE_CURRENCY,,,,,,,,,,3-letter currency code,
