Name,CCID,Authority,Target Format,Target Format Part,Citation,Definition
NextFilename-Type,MKV-NEXTFILENAME-TYPE,Matroska Specification,Matroska,Segment Element,http://www.matroska.org/technical/specs/index.html,"If present, NextFilename MUST be in UTF-8 format."
SegmentFamily-Size,MKV-SEGMENTFAMILY-SIZE,Matroska Specification,Matroska,Segment Element,http://www.matroska.org/technical/specs/index.html,
SegmentFamily-Type,MKV-SEGMENTFAMILY-TYPE,Matroska Specification,Matroska,Segment Element,http://www.matroska.org/technical/specs/index.html,"If present, SegmentFamily MUST be 128 bits (16 bytes) in size."
TimecodeScale-Presence,MKV-TIMECODESCALE-PRES,Matroska Specification,Matroska,Segment Element,http://www.matroska.org/technical/specs/index.html,File MUST contain at least one TimecodeScale element.
Duration-Range,MKV-DURATION-RANG,Matroska Specification,Matroska,Segment Element,http://www.matroska.org/technical/specs/index.html,"If present, duration range MUST be greater than 0"
Duration-Type,MKV-DURATION-TYPE,Matroska Specification,Matroska,Segment Element,http://www.matroska.org/technical/specs/index.html,"If present, duration type MUST be float integer."
DateUTC-Type,MKV-DATEUTC-TYPE,Matroska Specification,Matroska,Segment Element,specdata.xml,"If present, DateUTC MUST be in date format and follow UTC standards."
Title-Type,MKV-TITLE-TYPE,Matroska Specification,Matroska,Segment Element,specdata.xml,"If present, Title MUST be in UTF-8 format."
Tag Total Parts,MKV-TAG-TOTALPARTS,Matroska Specification,Matroska,Segment Element,,
Tag Part Number,MKV-TAG-PARTNUMBER,Matroska Specification,Matroska,Segment Element,,
Tag Part Offset,MKV-TAG-PARTOFFSET,Matroska Specification,Matroska,Segment Element,,
Tag Title,MKV-TAG-TITLE,Matroska Specification,Matroska,Segment Element,,
Tag Subtitle,MKV-TAG-SUBTITLE,Matroska Specification,Matroska,Segment Element,,
Tag URL,MKV-TAG-URL,Matroska Specification,Matroska,Segment Element,,
Tag Sort_with,MKV-TAG-SORT_WITH,Matroska Specification,Matroska,Segment Element,,
Tag Email,MKV-TAG-EMAIL,Matroska Specification,Matroska,Segment Element,,
Tag Address,MKV-TAG-ADDRESS,Matroska Specification,Matroska,Segment Element,,
Tag Fax,MKV-TAG-FAX,Matroska Specification,Matroska,Segment Element,,
Tag Phone,MKV-TAG-PHONE,Matroska Specification,Matroska,Segment Element,,
Tag Initial_Key,MKV-TAG-INITIAL_KEY,Matroska Specification,Matroska,Segment Element,,
Tag Law_Rating,MKV-TAG-LAW_RATING,Matroska Specification,Matroska,Segment Element,,
TAG ICRA,MKV-TAG-ICRA,Matroska Specification,Matroska,Segment Element,,
Tag DATE_RELEASED,MKV-TAG-DATE_RELEASED,Matroska Specification,Matroska,Segment Element,,
Tag DATE_RECORDED,MKV-TAG-DATE_RECORDED,Matroska Specification,Matroska,Segment Element,,
Tag DATE_ENCODED,MKV-TAG-DATE_ENCODED,Matroska Specification,Matroska,Segment Element,,
Tag DATE_TAGGED,MKV-TAG-DATE_TAGGED,Matroska Specification,Matroska,Segment Element,,
Tag DATE_DIGITIZED,MKV-TAG-DATE_DIGITIZED,Matroska Specification,Matroska,Segment Element,,
Tag DATE_WRITTEN,MKV-TAG-DATE_WRITTEN,Matroska Specification,Matroska,Segment Element,,
Tag DATE_PURCHASED,MKV-TAG-DATE_PURCHASED,Matroska Specification,Matroska,Segment Element,,
Tag Play_Counter,MKV-TAG-PLAY_COUNTER,Matroska Specification,Matroska,Segment Element,,
Tag FPS,MKV-TAG-FPS,Matroska Specification,Matroska,Segment Element,,
Tag BPM,MKV-TAG-BPM,Matroska Specification,Matroska,Segment Element,,
Tag Measure,MKV-TAG-MEASURE,Matroska Specification,Matroska,Segment Element,,
Tag Tuning,MKV-TAG-TUNING,Matroska Specification,Matroska,Segment Element,,
Tag Replay Gain (Gain),MKV-TAG-REPLAYGAIN_GAIN,Matroska Specification,Matroska,Segment Element,,
Tag Replay Gain (Peak),MKV-TAG-REPLAYGAIN_PEAK,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) ISRC,MKV-TAG-ISRC,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) MCDI,MKV-TAG-MCDI,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) ISBN,MKV-TAG-ISBN,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) Barcode,MKV-TAG-BARCODE,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) Catalog number,MKV-TAG-CATALOG_NUMBERA,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) Label code,MKV-TAG-LABEL_CODE,Matroska Specification,Matroska,Segment Element,,
Tag (Identifiers) LCCN,MKV-TAG-LCCN,Matroska Specification,Matroska,Segment Element,,
Tag (Commercial) Purchase Item,MKV-TAG-PURCHASE_ITEM,Matroska Specification,Matroska,Segment Element,,
Tag (Commercial) Purchase Price,MKV-TAG-PURCHASE_PRICE,Matroska Specification,Matroska,Segment Element,,
Tag (Commercial) Purchase Currency,MKV-TAG-PURCHASE_CURRENCY,Matroska Specification,Matroska,Segment Element,,
Extension Test MKV,MKV-EXT-MKV,Matroska Specification,Matroska,File name,http://www.matroska.org/node/2/revisions/153/view,"If the file extension is MKV, the file SHOULD contain at least one video track."
Extension Test MKA,MKV-EXT-MKA,Matroska Specification,Matroska,File name,http://www.matroska.org/node/7/revisions/214/view,"If the file extension is MKA, the file SHOULD contain at least one audio track and no other type of track, i.e. ""audio-only""."
Extension Test MKS,MKV-EXT-MKS,Matroska Specification,Matroska,File name,http://www.matroska.org/node/2/revisions/153/view,"If the file extension is MKS, the file SHOULD contain at least one subtitle track and no other type of track, i.e. ""subtitle-only""."
Extension Test MK3D,MKV-EXT-MK3D,Matroska Specification,Matroska,"File name, StereoMode element",http://www.matroska.org/node/2/revisions/153/view,If the file extension is MKV3D the file SHOULD contain at least one video track AND SHOULD contain at least one StereoMode element.
